"","Age_group","Gender","Institute_type","Internet_access","Device","Miss_classes","Platforms","Hours_of_classes","Class_duration","Breaks","Screen_time","Support","Support_type","Attendance","Attendance_relative","Attendance_reason","Participation","Patricipation_screen","Patricipation_teacher_camera_off","Patricipation_camera_off","Participation_login","Participation_distractions","Participation_bored","Participation_class_time","Participation_material","Participation_glitches","Participation_open_book","Participation_teachers","Participation_teacher_encouragement","Participation_exhausted","Help_needed","Feeling","Connection","Routine","Look_forward_to","Miss_classmates","Burden","Enjoyment","Progress","Stress_frustration","Open_book_interest","Social_media","Social_media_forward","Mood"
"50","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","Yes but only Sometimes","Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","Yes","8 to 10 Hrs","Yes but insufficient","EBooks, Presentations, Videos, Links to Educational Material","30-49%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes, Answering the questions asked by teachers or others during the class, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree",3,2,3,3,2,1,"Tired of phone and computer"
"51","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Privately Owned","Yes","Laptop/ Desktop","No","Microsoft Teams","3 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked, Listening Attentively in classes and taking notes","Agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Agree",5,3,4,1,4,1,"Frustrated"
"52","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Google Meet","5 hours","More than 45 minutes  but less than 1 hour","No","10 to 12 Hrs","Yes","Presentations, Videos, Links to Educational Material","less than 30%","Much Lesser","Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Pursuing my personal projects/research interests","Overwhelmed","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree",5,5,5,5,3,3,"Depressed"
"53","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Tablet/iPad","No","Microsoft Teams","3 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Little Lesser","It has not decreased, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Tired","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree",4,4,4,5,4,4,"Frustrated"
"54","Undergraduate Students (Adults aged 18 yrs and above )","Male","Privately Owned","Yes (but with bandwidth and connectivity issues)","Tablet/iPad","Yes but only Sometimes","Cisco WebEx","More than 5 hours","Between 1 hour - 1.5 hours","No","8 to 10 Hrs","Yes","One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","50-69%","Almost the Same","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked, Asking my doubts and queries in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Strongly agree","Disagree","Strongly disagree","Strongly agree","Strongly agree",5,5,5,5,3,1,"Tired of phone and computer"
"55","Undergraduate Students (Adults aged 18 yrs and above )","Female","Privately Owned","Yes","Laptop/ Desktop","No","Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","2 to 4 Hrs","Yes but insufficient","One to One mentoring Sessions if required, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Training on how to attend classes online more effectively, Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Pursuing my personal projects/research interests","Happy","Disagree","Agree","Disagree","Agree","Agree",3,4,4,4,4,1,"Anxious"
"56","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Meet","3 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Not at all","One to One mentoring Sessions if required, Presentations, Videos, Links to Educational Material","70-89%","Much More","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Disagree","Disagree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Disagree","Disagree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Study goes on even after classes","Disagree","Strongly agree","Agree","Strongly agree","Disagree",2,3,4,3,1,2,"Crushingly bored"
"57","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Microsoft Teams, Google Meet","3 hours","More than 45 minutes  but less than 1 hour","No","4 to 6 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material","50-69%","Little More","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Pursuing my personal projects/research interests","Joyful","Disagree","Neither agree nor disagree","Disagree","Strongly agree","Agree",3,4,4,5,3,2,"Overworked"
"58","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Mobile Phone","No","Google Meet","4 hours","Between 1 hour - 1.5 hours","No","8 to 10 Hrs","Not at all","Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","70-89%","Little Lesser","It has not decreased, You do not enjoy participating in online classes, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Joyful","Disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree",5,3,2,1,1,1,"Tired of phone and computer"
"59","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Zoom","5 hours","Between 1 hour - 1.5 hours","Yes","4 to 6 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks, Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","It has not decreased","Listening Passively in classes","Agree","Disagree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Tired","Disagree","Agree","Agree","Agree","Agree",4,3,5,5,2,1,"Frustrated"
"60","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Partially Govt Aided","Yes","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom","5 hours","More than 45 minutes  but less than 1 hour","Yes","8 to 10 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","90-100%","Almost the Same","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers","Study goes on even after classes","Disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree",3,3,4,5,1,1,"Tired of phone and computer"
"61","Undergraduate Students (Adults aged 18 yrs and above )","Female","Privately Owned","Yes","Laptop/ Desktop","No","Microsoft Teams","4 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Yes","One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","70-89%","Much Lesser","Your attendance is low for those classes that are very late in the afternoon / evening, You are exhausted with online learning","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Strongly disagree","Disagree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Overwhelmed","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree",5,1,5,5,1,2,"Depressed"
"62","Undergraduate Students (Adults aged 18 yrs and above )","Female","Partially Govt Aided","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","Yes","2 to 4 Hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group, EBooks","70-89%","Almost the Same","You are exhausted with online learning, Technological glitches with platform/internet, Lack of proper online learning resources","Asking my doubts and queries in class, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree",2,3,5,4,3,1,"Tired of phone and computer"
"63","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Microsoft Teams, Google Classroom","3 hours","More than 45 minutes  but less than 1 hour","Yes","More than 12 hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","70-89%","Much More","Your attendance is low for those classes that are very early in the morning, I am discontented with the way some of my teachers are teaching online, Others","Listening Passively in classes, Discussing topics with teachers and peers in class","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Study goes on even after classes","Disagree","Neither agree nor disagree","Disagree","Strongly agree","Agree",4,4,4,2,3,4,"Depressed"
"64","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","Your attendance is low for those classes that are very early in the morning, Technological glitches with platform/internet, I do not have adequate resources - Devices and connectivity to attend","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Overwhelmed","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree",2,4,3,4,3,1,"Nostalgic"
"65","Middle School Students (aged 11-14 yrs)","Female","Government Owned","Yes","Tablet/iPad","No","Microsoft Teams","3 hours","Less than 45 mins","Yes","2 to 4 Hrs","Yes","Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","It has not decreased, You are exhausted with online learning, You do not enjoy participating in online classes","Listening Passively in classes","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Training on how to attend classes online more effectively, Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet","Joyful","Disagree","Disagree","Agree","Agree","Agree",1,3,3,4,1,1,"Peaceful"
"66","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Microsoft Teams, Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes but insufficient","EBooks, Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","You are exhausted with online learning","Listening Attentively in classes and taking notes","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Confused","Strongly disagree","Disagree","Disagree","Agree","Strongly agree",2,2,5,4,1,2,"Tired of phone and computer"
"67","Undergraduate Students (Adults aged 18 yrs and above )","Female","Privately Owned","Yes","Laptop/ Desktop","No","Microsoft Teams, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","70-89%","Much More","Because of OBE pattern I no longer feel like attending lectures, I am discontented with the way some of my teachers are teaching online","Listening Passively in classes","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Strongly disagree","Disagree","Strongly disagree","Agree","Strongly agree",4,2,5,4,2,1,"Depressed"
"68","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Microsoft Teams, Google Classroom, Google Meet","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","Less than 2 Hrs per day","Yes","Nothing","90-100%","Much More","You are exhausted with online learning, You do not enjoy participating in online classes, Health Issues and Family Matters","Listening Attentively in classes and taking notes, Answering the questions asked by teachers or others during the class, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Relieved","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Strongly disagree",2,3,3,5,4,1,"Tired of phone and computer"
"69","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","No","10 to 12 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","50-69%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures","Just joining the class and not paying attention purpose is to get attendance marked, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Training on how to attend classes online more effectively, Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Tired","Disagree","Strongly disagree","Disagree","Strongly agree","Agree",4,2,5,5,2,1,"Frustrated"
"70","Very Young Learners (aged 3-6 yrs)","Male","Privately Owned","Yes","Mobile Phone","Yes","Zoom","2 hours","More than 45 minutes  but less than 1 hour","Yes","Less than 2 Hrs per day","Not at all","One to One mentoring Sessions if required, Presentations, Videos, Links to Educational Material","90-100%","Little More","It has not decreased","Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session","Agree","Strongly agree","Disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Relieved","Disagree","Strongly agree","Neither agree nor disagree","Agree","Agree",1,4,4,3,1,1,"Overworked"
"71","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Microsoft Teams","5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes","Agree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Disagree","Strongly agree","Training on how to attend classes online more effectively, Giving Online tests-assignments and exams","Overwhelmed","Disagree","Disagree","Disagree","Strongly agree","Disagree",4,3,5,4,2,1,"Tired of phone and computer"
"72","Undergraduate Students (Adults aged 18 yrs and above )","Prefer not to say","Partially Govt Aided","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes","Zoom, Microsoft Teams, Google Classroom, Google Meet","4 hours","Between 1 hour - 1.5 hours","No","10 to 12 Hrs","Not at all","Presentations, Videos, Links to Educational Material","30-49%","Little Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree",4,1,5,5,4,1,"Depressed"
"73","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Microsoft Teams, Google Classroom, Google Meet","4 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes but insufficient","EBooks, Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Strongly agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined","Tired","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",3,2,5,5,2,1,"Crushingly bored"
"74","Post Graduate Students","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Little Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked","Agree","Disagree","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",2,3,5,4,1,1,"Tired of phone and computer"
"75","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Google Meet","4 hours","Between 1 hour - 1.5 hours","No","8 to 10 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material","less than 30%","Much Lesser","Your attendance is low for those classes that are very early in the morning, You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Agree","Disagree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Relieved","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Agree",5,1,4,5,2,2,"Indifferent"
"76","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Government Owned","Yes","Mobile Phone","No","Microsoft Teams, Google Meet","4 hours","More than 1.5 hours","Yes","4 to 6 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","Your attendance is low for those classes that are very early in the morning, Your attendance is low for those classes that are very late in the afternoon / evening, You are exhausted with online learning","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Relieved","Agree","Disagree","Agree","Strongly agree","Agree",1,3,3,1,1,3,"Hopeful"
"77","Undergraduate Students (Adults aged 18 yrs and above )","Male","Privately Owned","Yes","Laptop/ Desktop","No","Zoom","3 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes but insufficient","One to One mentoring Sessions if required, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Doing and submitting assignments/ projects/ research work assigned in time","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Study goes on even after classes","Disagree","Agree","Strongly disagree","Agree","Strongly disagree",5,4,4,4,2,1,"Optimistic"
"78","Young Students upto Class V (aged 6-11 yrs)","Female","Privately Owned","Yes","Mobile Phone","No","Zoom","3 hours","Less than 45 mins","Yes","4 to 6 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc.","Happy","Agree","Agree","Agree","Agree","Disagree",3,4,1,2,5,1,"Overworked"
"79","Undergraduate Students (Adults aged 18 yrs and above )","Male","Privately Owned","Yes","Laptop/ Desktop","No","Microsoft Teams","5 hours","More than 45 minutes  but less than 1 hour","Yes","6 to 8 Hrs","Not at all","None","30-49%","Almost the Same","Your attendance is low for those classes that are very late in the afternoon / evening, You are exhausted with online learning, You do not enjoy participating in online classes","Listening Passively in classes","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Relieved","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree",4,3,3,3,2,1,"Anxious"
